subject_ID,Exp_Type,Run,Threat_Predictability,Cumulative_Start_Time,Block,Block_Onset,Block_End,Safe_Block_Time,Threat_Block_Time,Num_Stressor_Presentations,Audio_Files,Threat_Cue_Onset_Times,Stressor_Onset_Times,Stressor_End_Times,Individual_Button_Presses,Escape_Times,Escape_Presses_Needed_List,Shock_Level,Cumulative_End_Time,Anxiety_Rating,Perceived_Control_Rating
CPU_007,beh,0,NA,2.00000786828,safe,3.42098064721e-06,16.0000465255,16.000043104519136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0003161001,NA,NA
CPU_007,beh,0,P,18.0065221295,threat,2.39466316998e-06,40.0001005773,NA,40.00009818258695,2.0,"['static.wav', 'buzzsaw.wav']","[5.000029420480132, 24.000038657221012]","[8.011757622356527, 27.005586144863628]","[8.194963951245882, 27.188810947118327]","[[0.18867547565605491], [0.1800011972663924]]","[0.19496600376442075, 0.18881299975328147]","[1, 1]",5,67.6882483644,6,8
CPU_007,beh,0,NA,67.6948881762,safe,2.39466316998e-06,14.0000530254,14.000050630769692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.02579226,NA,NA
CPU_007,beh,0,U,90.0320872354,threat,2.39466316998e-06,30.0000875775,NA,30.00008518283721,1.0,['buzzer.wav'],NA,[19.000029762624763],[19.209122428903356],[[0.19239273038692772]],[0.20912448153831065],[1],5,128.218644772,9,4
CPU_007,beh,1,U,2.0000088946,threat,4.44729812443e-06,91.0000896301,NA,91.00008518283721,2.0,"['static.wav', 'buzzsaw.wav']",NA,"[5.000068077817559, 82.00004242034629]","[5.350623048958369, 82.40895035280846]","[[0.21958280948456377, 0.3475068634143099], [0.256962668383494, 0.3929544580169022]]","[0.35062510159332305, 0.40895240544341505]","[2, 2]",5,100.504270259,8,4
CPU_007,beh,1,NA,100.511647295,safe,3.07883601636e-06,13.0000143681,13.000011289259419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113.511776951,NA,NA
CPU_007,beh,1,U,113.518065084,threat,2.39466316998e-06,100.000055762,NA,100.0000533675775,3.0,"['buzzer.wav', 'airhorn.wav', 'godzilla.wav']",NA,"[11.000095787923783, 25.000030446914025, 48.00004755181726]","[11.627998460549861, 25.50682232202962, 48.566021295730025]","[[0.23384631180670112, 0.3857731024036184, 0.6257799444720149], [0.22534889890812337, 0.36934103060048074, 0.4892613213742152], [0.25662843708414584, 0.40848851832561195, 0.5604768869234249]]","[0.6280005131848156, 0.5068243746645749, 0.5660230062203482]","[3, 3, 3]",5,221.381740774,7,4
CPU_007,beh,1,NA,221.388955655,safe,3.07883601636e-06,17.0000280521,17.000024973298423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.389126705,NA,NA
CPU_007,beh,1,U,238.395422023,threat,2.39466316998e-06,79.0000543938,NA,79.00005199911539,1.0,['demon.wav'],NA,[63.00004207820166],[63.826584904803894],"[[0.35061449639033526, 0.6225115244742483, 0.7104386572027579, 0.8224112892057747]]",[0.8265872994670644],[4],5,324.81490186,6,4
CPU_007,beh,1,NA,324.821652512,safe,2.73669138551e-06,15.0000171049,15.00001436821185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339.821801326,NA,NA
CPU_007,beh,2,NA,2.00000786828,safe,3.07883601636e-06,19.0000424203,19.000039341510274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.0003109685,NA,NA
CPU_007,beh,2,P,21.0065761813,threat,3.07883601636e-06,77.000085867,NA,77.00008278817404,2.0,"['godzilla.wav', 'buzzer.wav']","[12.000055078067817, 46.00006910413504]","[15.006735941860825, 49.012415137840435]","[15.873054693103768, 49.71212110319175]","[[0.1798339105444029, 0.4757524909218773, 0.5957849903497845, 0.7317904639057815, 0.8678109899628907], [0.14676758600398898, 0.29865400900598615, 0.41864408808760345, 0.5546871926635504, 0.698657772038132]]","[0.8730567457387224, 0.7121228137984872]","[5, 5]",5,104.274831217,3,8
CPU_007,beh,2,NA,104.28218978,safe,3.07895243168e-06,12.0000201839,12.000017104903236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.282353988,NA,NA
CPU_007,beh,2,P,116.288663331,threat,2.73680780083e-06,112.000074236,NA,112.0000714987982,0.0,[],NA,[],[],[],[],[],5,233.399678084,2,8
CPU_007,beh,2,NA,233.40656455,safe,2.73680780083e-06,14.000037973,14.000035236240365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247.406732179,NA,NA
CPU_007,beh,2,P,247.413093864,threat,2.73680780083e-06,81.0000547359,NA,81.00005199911539,2.0,"['demon.wav', 'buzzsaw.wav']","[48.00006499886513, 60.00008757750038]","[51.01534077397082, 63.01147744280752]","[51.681718366453424, 63.86112020525616]","[[0.17273089580703527, 0.3246162924915552, 0.4446104768430814, 0.5565365832298994, 0.6765800298890099], [0.16428377164993435, 0.34015103697311133, 0.4441424844553694, 0.7082088518654928, 0.8521698524709791]]","[0.6817207611165941, 0.8611222578911111]","[5, 5]",5,333.052008039,1,9
CPU_007,beh,3,NA,2.00000786828,safe,3.42098064721e-06,20.0000417362,20.000038315192796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.0003130211,NA,NA
CPU_007,beh,3,U,22.0073106692,threat,3.07883601636e-06,87.0000639725,NA,87.00006089371163,1.0,['godzilla.wav'],NA,[80.00003147311509],[81.40912619198207],"[[0.32201462471857667, 0.7459020739188418, 0.849840153940022, 1.1377905494300649, 1.2738329698331654, 1.4018322855699807]]",[1.409128586645238],[6],7,118.428626213,8,3
CPU_007,beh,3,NA,118.435731281,safe,3.07883601636e-06,10.0000345521,10.000031473231502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.43590062,NA,NA
CPU_007,beh,3,U,128.442065255,threat,2.3947795853e-06,63.0000868933,NA,63.00008449854795,1.0,['static.wav'],NA,[42.00008791964501],[43.052470215945505],"[[0.2610644430387765, 0.5248851828509942, 0.6529265769058838, 0.7808988668257371, 0.9088632884668186, 1.044893393293023]]",[1.052472268580459],[6],7,196.170121702,8,4
CPU_007,beh,3,NA,196.176762198,safe,2.73680780083e-06,15.0000301048,15.000027367961593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211.17690588,NA,NA
CPU_007,beh,3,U,211.183268591,threat,2.39466316998e-06,120.00009613,NA,120.00009373540524,2.0,"['scream.wav', 'demon.wav']",NA,"[18.00003078894224, 104.00009920890443]","[19.092149326461367, 105.1643450075062]","[[0.26215471455361694, 0.4137695103418082, 0.5497558263596147, 0.6857342740986496, 0.7977695104200393, 0.9417527475161478, 1.08576369471848], [0.31497010902967304, 0.47487500531133264, 0.6108582424931228, 0.7309191362001002, 0.8588329270714894, 0.9868141115875915, 1.15479700663127]]","[1.0921520632691681, 1.1643470601411536]","[7, 7]",7,334.975156724,7,3
CPU_007,beh,4,NA,2.0000160787,safe,3.07883601636e-06,18.0000403677,18.00003728887532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0003215737,NA,NA
CPU_007,beh,4,P,20.0065050246,threat,3.07895243168e-06,77.00006842,NA,77.00006534100976,2.0,"['godzilla.wav', 'static.wav']","[17.000043446663767, 49.00004276249092]","[20.013056916883215, 52.00270840281155]","[20.96266324573662, 53.15224802226294]","[[0.06040932226460427, 0.19634842849336565, 0.32432413939386606, 0.4603699807776138, 0.5963645072188228, 0.7723610862158239, 0.9562950609251857], [0.09927970927674323, 0.23529955104459077, 0.3712851828895509, 0.5072376310126856, 0.6592995510436594, 0.7952181312721223, 0.9712691041640937, 1.1392164208227769]]","[0.9626652982551605, 1.1522500748978928]","[7, 8]",7,101.833165876,2,8
CPU_007,beh,4,NA,101.840024973,safe,2.73680780083e-06,16.0000307889,16.00002805213444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.840178576,NA,NA
CPU_007,beh,4,P,117.846412316,threat,3.07895243168e-06,88.0000639727,NA,88.00006089371163,0.0,[],NA,[],[],[],[],[],7,210.447964764,1,9
CPU_007,beh,4,NA,210.454694206,safe,2.73680780083e-06,11.0000307889,11.00002805213444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221.454845072,NA,NA
CPU_007,beh,4,P,221.461267992,threat,2.39466316998e-06,105.000111867,NA,105.00010947184637,3.0,"['demon.wav', 'airhorn.wav', 'buzzer.wav']","[7.00005678855814, 26.000073893461376, 93.0000947616063]","[10.013123626238666, 29.006928543909453, 96.00191267905757]","[11.462554971105419, 31.039548086351715, 98.0844808210386]","[[0.1753332477528602, 0.3272494333796203, 0.46332366904243827, 0.591337695135735, 0.7272648278158158, 0.8633134060073644, 1.0312870643101633, 1.4472703014034778], [0.8467065212316811, 1.0146391276502982, 1.1586117596598342, 1.302660679910332, 1.4545652341330424, 1.5985902074025944, 1.7425984177971259, 1.8865881548263133, 2.030597049393691], [0.18856121448334306, 0.35643395339138806, 0.5003689543809742, 0.6444517425261438, 0.7723737438209355, 0.9083747700788081, 1.044407953741029, 1.388347402215004, 1.7164349796948954, 2.068309086957015]]","[1.462557365768589, 2.0395501389866695, 2.0844832157017663]","[8, 9, 10]",7,330.025919863,1,9
