Direction,Facing,WalkerType,CorrectAnswer_Facing,CorrectAnswer_Direction
Forward,Left,0,0,0
Forward,Left,0,0,0
Forward,Right,2,1,0
Backward,Right,3,1,1
Backward,Left,1,0,1
Forward,Right,2,1,0
Forward,Left,0,0,0
Backward,Left,1,0,1
Forward,Left,0,0,0
Forward,Right,2,1,0
Backward,Left,1,0,1
Backward,Left,1,0,1
Forward,Right,2,1,0
Backward,Left,1,0,1
Backward,Left,1,0,1
Backward,Right,3,1,1
Backward,Right,3,1,1
Backward,Left,1,0,1
Forward,Left,0,0,0
Backward,Left,1,0,1
Forward,Right,2,1,0
Forward,Left,0,0,0
Backward,Left,1,0,1
Backward,Left,1,0,1
Forward,Left,0,0,0
Backward,Left,1,0,1
Backward,Right,3,1,1
Backward,Right,3,1,1
Backward,Left,1,0,1
Forward,Left,0,0,0
Forward,Right,2,1,0
Forward,Left,0,0,0
Forward,Left,0,0,0
Forward,Right,2,1,0
Backward,Right,3,1,1
Backward,Left,1,0,1
Backward,Right,3,1,1
Forward,Left,0,0,0
Backward,Right,3,1,1
Forward,Right,2,1,0
Forward,Left,0,0,0
Forward,Left,0,0,0
Forward,Right,2,1,0
Backward,Left,1,0,1
Backward,Right,3,1,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Backward,Right,3,1,1
Forward,Right,2,1,0
Forward,Left,0,0,0
Forward,Right,2,1,0
Forward,Left,0,0,0
Backward,Left,1,0,1
Backward,Right,3,1,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Forward,Left,0,0,0
Backward,Left,1,0,1
Backward,Left,1,0,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Forward,Left,0,0,0
Forward,Left,0,0,0
Backward,Left,1,0,1
Backward,Right,3,1,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Forward,Left,0,0,0
Backward,Left,1,0,1
Forward,Right,2,1,0
Forward,Left,0,0,0
Backward,Right,3,1,1
Backward,Right,3,1,1
Backward,Left,1,0,1
Forward,Right,2,1,0
Backward,Right,3,1,1
Forward,Right,2,1,0
Forward,Right,2,1,0
